1
25e0da2573a9174b08eeb16cbe985744
False,0
True,150
23,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,7,1,1,1,1,7,1,1,1,1,7,7,0,0,0,0,0
0,0,0,0,0,0,0,1,4,4,1,1,3,3,4,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,4,1,0,1,4,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,5,2,2,2,2,2,6,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0
0,0,0,0,1,2,2,5,5,5,5,2,2,2,2,2,1,0,0,0,0,0,0
0,0,0,0,1,2,5,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0
0,0,0,1,6,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0
0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,2,2,5,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,3,3,4,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0352941,0.6470588,0.4784314
0.1098039,0.1333333,0.1764706
0.9882353,0.9725490,0.9176471
0.8823529,0.6196078,0.2627451
0.7764706,0.5568627,0.2666667
0.7647059,0.7490196,0.6588235
0.7960784,0.7843137,0.7019608
0.0470588,0.4313725,0.3450980
