1
1d67b7a25317aeefbb5705b913e19499
False,0
True,100
38,29
-1,-1,-1,-1,-1,11,11,11,11,11,-1,-1,11,11,11,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,11,11,11,11,11,-1,-1,11,11,11,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,11,11,9,17,17,-1,-1,9,17,11,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,17,17,-1,-1,9,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,17,17,-1,-1,9,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,3,1,1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,17,17,-1,-1,9,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,3,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,17,17,-1,-1,9,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,17,17,-1,-1,9,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,3,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,17,17,-1,-1,9,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,15,15,7,7,7,3,1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,17,17,9,9,17,17,-1,-1,-1,-1,1,1,1,1,-1,-1,7,7,7,15,15,15,15,7,7,15,3,1,1,-1
