1
d8a45a96d0dc0d6b1993bcf01084dff1
False,0
True,100
30,30
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,2,2,2,2,2,2,2,2,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,8,8,2,2,5,5,5,5,5,5,5,5,2,2,8,8,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,9,2,2,5,5,1,1,1,1,1,1,1,1,5,5,2,2,9,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,9,2,5,5,1,1,1,1,3,3,3,3,1,1,1,1,5,5,2,9,-1,-1,-1,-1,-1
-1,-1,-1,-1,9,2,5,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,5,3,9,-1,-1,-1,-1
-1,-1,-1,9,2,5,1,1,1,1,3,3,1,7,7,7,7,1,3,3,1,1,1,1,5,2,9,-1,-1,-1
-1,-1,9,2,5,1,1,1,1,3,1,7,7,7,7,7,7,7,7,1,3,1,1,1,1,5,2,8,-1,-1
-1,-1,9,2,5,1,1,1,1,3,1,7,7,7,7,7,7,7,7,1,3,1,1,1,1,5,2,8,-1,-1
-1,9,2,5,1,1,1,1,3,1,7,7,7,7,7,7,7,7,7,7,1,3,1,1,1,1,5,2,8,-1
-1,9,2,5,1,1,1,1,3,1,7,7,7,7,7,7,7,7,7,7,1,3,1,1,1,1,5,2,8,-1
8,2,5,1,1,1,1,1,3,1,7,7,7,7,7,7,7,7,7,7,1,3,1,1,1,1,1,5,3,8
8,2,5,1,1,1,1,1,3,1,7,7,7,4,4,4,4,7,7,7,1,3,1,1,1,1,1,5,2,8
8,2,5,1,1,1,1,1,3,3,7,7,4,4,0,0,4,4,7,7,3,3,1,1,1,1,1,5,2,8
8,2,5,1,1,1,1,1,1,3,1,7,4,0,0,0,0,4,7,1,3,1,1,1,1,1,1,5,2,8
8,2,5,1,1,1,1,1,1,3,1,1,4,0,6,6,0,4,1,1,3,1,1,1,1,1,1,5,2,8
8,2,5,1,1,1,1,1,1,3,1,1,4,0,6,6,0,4,1,1,3,1,1,1,1,1,1,5,2,8
8,2,5,1,1,1,1,1,1,3,1,4,0,0,0,0,0,0,4,1,3,1,1,1,1,1,1,5,2,8
8,2,5,1,1,1,1,1,1,1,3,4,0,0,6,6,0,0,4,3,1,1,1,1,1,1,1,5,2,8
-1,8,2,5,1,1,1,1,1,1,3,4,0,6,0,0,6,0,4,3,1,1,1,1,1,1,5,2,8,-1
-1,8,2,5,1,1,1,1,1,1,3,4,0,6,0,0,6,0,4,3,1,1,1,1,1,1,5,2,8,-1
-1,-1,9,2,5,1,1,1,1,1,3,4,0,0,6,6,0,0,4,3,1,1,1,1,1,5,2,8,-1,-1
-1,-1,9,2,5,1,1,1,1,1,1,3,4,0,0,0,0,4,3,1,1,1,1,1,1,5,2,8,-1,-1
-1,-1,-1,8,2,5,1,1,1,1,1,3,1,4,4,4,4,1,3,1,1,1,1,1,5,2,9,-1,-1,-1
-1,-1,-1,-1,9,2,5,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,5,2,9,-1,-1,-1,-1
-1,-1,-1,-1,-1,8,2,5,5,1,1,1,1,3,3,3,3,1,1,1,1,5,5,2,9,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,9,2,2,5,5,1,1,1,1,1,1,1,1,5,5,2,2,9,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,9,2,2,5,5,5,5,5,5,5,5,2,2,9,9,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,2,2,2,2,2,2,2,2,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.9843137,0.9607843,0.9686275
0.8901961,0.8901961,0.8901961
0.7568628,0.7568628,0.7568628
0.682353,0.6862745,0.7137255
0.509804,0.5058824,0.509804
0.4431373,0.4470588,0.4431373
0.3960784,0.3960784,0.3960784
0,0,0
0.9921569,0.1529412,0.1529412
1,0.1568628,0.1568628

