1
a71fbae9e2be13d4861bb1afdae48951
False,0
True,50
27,16
-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1
-1,7,-1,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,-1,7,-1
7,5,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,5,7
-1,1,0,1,4,4,1,0,0,0,1,0,0,0,0,0,5,5,5,0,1,4,4,1,0,1,-1
-1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,5,5,0,1,1,0,0,1,-1
-1,-1,1,5,5,5,5,5,5,5,1,5,5,5,5,5,0,0,5,5,5,5,5,5,5,1,-1
-1,-1,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,0,0,5,5,5,5,5,5,1,-1
-1,-1,-1,1,1,1,2,2,2,2,1,0,0,0,0,5,5,5,0,0,0,0,0,0,0,1,-1
-1,-1,-1,-1,-1,-1,1,3,3,3,1,0,0,0,0,0,5,5,5,0,0,0,0,0,0,1,-1
-1,-1,-1,-1,-1,-1,1,3,3,3,1,0,0,6,0,0,0,5,5,5,0,0,0,0,0,1,-1
-1,-1,-1,-1,-1,-1,-1,1,3,3,1,0,6,6,6,0,0,0,5,5,5,5,5,5,5,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,6,0,0,0,0,0,5,5,5,5,5,5,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1
1,1,1
0.6078432,0.6784314,0.7176471
0.5176471,0.4941176,0.5294118
0.4117647,0.4156863,0.4156863
0.1960784,0.2352941,0.2235294
0.8509804,0.3411765,0.3882353
0.4156863,0.7450981,0.1882353
0.9843137,0.9490196,0.2117647

