1
40c23dc967a2edf913461ab37950962a
True,250
True,400
77,100
0,0,15,4,4,15,15,0,0,0,17,17,17,18,18,17,18,17,18,0,19,0,15,15,0,15,0,17,0,16,18,17,18,17,17,17,19,4,0,31,18,18,15,17,16,4,0,9,6,8,8,5,5,8,4,8,5,8,5,5,14,6,7,6,8,6,9,6,5,8,5,8,14,7,13,6,13
0,0,0,0,0,0,15,1,0,33,15,15,18,17,0,18,17,18,17,15,0,0,4,0,0,0,0,34,0,16,16,18,18,30,15,18,18,16,27,30,0,15,17,18,0,9,8,8,6,8,8,8,5,8,9,4,6,5,8,5,5,5,14,5,6,8,6,6,5,8,5,5,8,8,13,26,5
4,0,4,0,1,1,16,1,0,16,16,15,0,0,15,18,4,18,16,16,16,0,0,0,9,16,16,33,16,0,30,32,30,21,17,17,16,18,18,17,18,17,4,0,9,8,8,8,8,5,8,8,8,8,4,8,5,6,4,7,5,5,11,14,8,6,8,8,5,7,8,7,5,8,7,5,25
0,0,4,4,1,1,16,33,15,16,15,0,9,8,10,9,17,0,18,16,16,16,16,16,0,16,0,0,33,19,34,28,1,30,30,30,17,16,0,15,17,34,9,8,6,8,8,8,8,8,8,9,8,8,6,8,5,6,15,5,8,14,6,14,14,14,7,8,7,9,6,5,9,7,8,5,6
17,0,0,4,1,16,33,0,33,4,4,4,6,0,9,6,0,16,16,16,16,16,16,16,0,1,1,33,34,16,34,18,30,19,30,28,28,34,0,15,0,9,7,8,8,8,9,6,8,8,8,8,9,8,8,7,8,6,9,16,4,5,14,6,14,7,5,8,8,9,8,14,8,14,13,10,6
4,4,4,0,4,16,4,4,5,0,9,9,4,5,16,16,0,0,9,4,0,16,4,16,16,34,33,34,0,16,16,34,17,34,28,18,0,15,4,9,8,4,8,8,7,8,8,9,8,8,9,8,8,9,6,8,9,8,5,4,25,5,10,14,14,14,14,7,6,8,9,9,11,5,14,4,5
0,4,4,9,4,16,8,4,8,8,8,9,15,9,9,17,9,4,0,1,1,1,4,0,4,4,34,0,16,16,16,34,16,18,15,0,0,4,8,8,8,8,8,9,8,7,8,8,8,8,8,6,8,8,8,8,9,9,9,4,4,14,5,6,6,14,14,7,13,9,9,8,14,14,4,5,6
9,8,4,4,4,5,9,9,4,1,1,9,9,8,0,9,4,4,4,16,1,16,1,1,1,0,15,34,16,16,18,17,17,18,21,4,9,8,7,9,8,8,9,7,8,8,8,9,9,9,8,8,9,4,5,8,8,9,5,9,4,0,5,14,6,14,14,10,13,7,7,6,8,6,0,7,14
9,9,7,9,8,5,9,4,16,0,4,1,1,4,0,9,1,1,15,17,0,15,17,1,4,4,16,34,34,15,16,16,18,4,4,9,8,8,7,9,8,8,8,9,9,8,8,8,8,8,8,8,8,9,4,8,9,8,9,8,15,5,5,5,14,5,0,14,24,8,7,6,5,6,8,7,5
9,8,9,9,9,9,9,1,0,4,1,1,1,1,4,1,1,1,16,0,16,0,18,1,0,5,33,16,17,17,16,16,4,9,6,8,8,8,8,8,8,7,8,8,9,9,9,9,8,8,9,8,9,9,8,5,9,5,9,9,8,0,5,14,15,6,14,14,13,7,8,6,5,14,5,5,8
9,9,9,9,4,9,1,5,1,16,4,1,16,17,1,17,19,19,19,16,18,19,16,9,34,16,15,0,16,34,16,0,9,6,7,8,8,8,8,8,9,7,8,8,9,8,8,8,8,8,9,8,8,8,9,5,8,9,8,4,4,8,14,0,14,0,5,13,6,7,8,13,7,5,14,5,7
9,9,9,9,9,4,8,4,4,9,0,9,1,19,16,18,19,16,16,0,15,1,16,19,15,15,15,0,16,0,4,9,8,7,7,8,7,7,9,9,6,9,7,8,9,9,4,8,8,9,6,9,8,8,9,9,5,8,8,9,9,8,14,4,14,15,6,5,13,7,8,5,5,4,5,7,8
9,9,4,17,4,5,4,5,4,4,16,4,9,9,4,9,17,16,17,30,3,15,0,19,16,19,16,16,4,9,8,7,8,8,7,7,8,7,8,8,7,8,8,9,9,9,9,4,8,9,9,8,8,9,8,9,9,5,8,5,9,4,8,14,5,14,14,0,25,8,8,7,14,14,9,9,8
4,9,0,4,4,1,9,4,4,4,34,9,9,9,8,9,16,0,0,18,0,0,19,18,0,0,0,4,9,7,7,9,7,7,7,9,9,7,8,6,8,6,9,8,8,8,9,4,8,9,9,8,8,8,8,9,5,9,5,9,9,4,5,4,5,14,15,14,25,8,6,13,14,8,8,8,5
4,9,0,4,16,4,4,9,9,16,4,9,9,9,9,9,9,0,15,0,16,16,16,16,0,0,5,5,8,8,8,9,7,8,5,7,9,8,6,8,6,8,8,4,8,8,9,9,4,5,8,9,8,8,9,9,5,9,5,9,9,4,8,5,14,4,0,14,24,8,6,5,8,9,8,6,13
