1
bb41ae87ba9ba3415cfa0dc77db6bb31
False,0
True,50
28,12
-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1
-1,-1,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,-1
-1,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,-1
7,5,3,3,4,2,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,2,4,3,5,7
-1,7,4,3,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,4,-1
-1,-1,-1,4,4,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,-1,-1
-1,-1,-1,-1,-1,-1,-1,4,4,4,0,2,2,2,2,2,0,2,2,2,2,0,0,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,2,2,2,2,0,2,2,2,2,0,4,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,2,2,2,0,2,2,2,0,4,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1
0.372549,0.8039216,0.8941177
0.4117647,0.4156863,0.4156863
0.1960784,0.2352941,0.2235294
0.1333333,0.1254902,0.2039216
0.8509804,0.3411765,0.3882353
0.3568628,0.4313726,0.8823529
0.9843137,0.9490196,0.2117647

