1
7bcc7399714647bc44c34eddcc595f44
False,0
True,50
10,15
-1,-1,3,3,-1,-1,3,3,-1,-1
-1,-1,-1,3,-1,-1,3,-1,-1,-1
-1,-1,2,2,2,2,2,2,-1,-1
-1,1,2,2,2,2,2,2,1,-1
-1,0,0,2,2,2,2,0,0,-1
-1,0,0,2,2,2,2,0,0,-1
-1,-1,2,2,0,0,2,2,-1,-1
-1,-1,-1,-1,1,1,-1,-1,-1,-1
-1,-1,1,1,4,4,1,1,-1,-1
-1,1,1,1,1,1,1,1,1,-1
3,1,-1,3,1,1,3,-1,1,3
3,3,1,5,1,1,5,1,3,3
3,3,3,3,3,3,3,3,3,3
-1,3,3,3,3,3,3,3,3,-1
-1,-1,3,3,3,3,3,3,-1,-1
0.9019608,0.9019608,0.9019608
0.9372549,0.8156863,0.8117647
0.5019608,0.2,0
0.3333333,0,0
1,0.5019608,0.5019608
1,0.4,0

