1
6d4a8e0ed7763ba4cfa402649a7f9a52
False,0
True,50
32,16
-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,-1,-1,-1,-1,-1,-1,-1
5,5,5,5,4,4,4,4,5,2,2,2,2,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5
5,6,6,6,5,4,4,5,5,1,1,1,1,5,6,6,6,6,6,6,6,5,4,4,5,6,6,6,6,6,6,5
5,6,6,6,6,5,5,6,5,1,1,1,1,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,5
5,6,6,6,6,6,6,6,5,1,1,1,1,5,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5
5,6,6,6,6,6,6,6,5,1,1,1,1,5,6,6,6,6,3,6,6,3,6,6,3,6,6,3,6,6,6,5
5,6,6,6,6,6,6,6,5,1,1,1,1,5,6,6,6,6,3,6,6,3,6,6,3,6,6,3,6,6,6,5
5,6,2,2,2,2,6,6,5,1,1,1,1,5,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,5
-1,5,2,2,2,2,6,6,5,2,2,2,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
-1,5,2,2,2,2,6,6,5,-1,-1,-1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-1,-1,5,2,2,2,6,6,5,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1
-1,-1,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1
-1,-1,7,6,7,-1,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
-1,-1,-1,7,-1,-1,-1,7,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
0.6039216,0.6784314,0.7137255
0.5254902,0.4941176,0.5254902
0.4117647,0.4156863,0.4117647
0.3490196,0.3372549,0.3176471
0.1882353,0.2352941,0.2196078
0.6666667,0.1960784,0.1882353
0.8588235,0.3372549,0.3803922
0.9843137,0.9529412,0.2039216

