1
13fcdbbd9682b487750a435b706d9c8d
True,400
True,600
112,100
0,0,0,0,0,0,0,2,2,4,4,4,12,12,12,10,4,13,9,9,4,4,9,4,4,2,2,2,12,2,4,13,4,46,2,4,4,2,2,2,12,10,4,10,10,2,2,12,46,47,45,45,23,25,26,26,29,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,29,28,29,26,26,25,25,45,10,9,44,9,13,13,12,12,12,4,1,1,4,4,9,4,4,4,12,3,1,2,3,3,3,1,2,2,2,2
0,0,0,0,0,0,0,0,2,4,4,4,9,12,4,4,12,13,47,9,13,4,2,9,2,2,4,4,4,12,4,13,4,4,10,0,12,2,2,4,12,47,2,10,10,2,2,10,45,44,26,26,26,26,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,30,29,26,28,26,26,45,47,45,47,9,9,9,12,13,9,12,4,2,3,12,12,4,4,9,3,1,2,3,3,3,3,1,2,2,1,1
0,0,0,0,0,0,0,0,2,2,4,4,12,12,9,12,12,9,9,9,9,4,2,2,13,2,2,2,2,9,13,4,2,0,10,0,2,4,4,2,10,45,2,10,46,12,2,10,23,26,28,29,29,31,31,31,30,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,30,30,29,22,23,22,47,9,47,9,9,9,13,12,4,3,3,12,4,4,12,12,2,1,1,1,2,3,2,2,2,2,2,1
0,0,0,0,0,0,0,0,2,4,4,4,4,12,12,12,4,13,47,9,4,2,2,4,4,13,2,2,4,2,9,4,4,4,2,23,2,12,4,12,12,25,10,25,26,25,10,10,30,30,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,26,22,23,47,47,9,13,12,13,12,3,3,2,4,12,2,3,0,2,2,2,2,2,1,1,1,2,1,1
0,0,0,0,0,0,0,0,0,2,4,4,4,4,12,4,4,13,9,9,2,4,4,12,4,4,9,4,4,4,4,9,4,12,2,10,10,10,12,45,23,31,26,31,31,31,25,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,28,22,23,47,13,12,13,47,11,46,4,3,13,4,4,2,2,4,2,2,2,2,1,2,2,2,2,1
0,0,0,0,0,0,0,0,0,2,4,4,4,4,12,12,4,13,13,9,9,4,4,4,4,4,12,9,2,2,4,12,12,4,12,4,23,45,28,29,30,31,31,31,31,31,35,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,26,45,46,13,10,10,46,3,2,3,4,4,4,2,4,3,3,3,2,2,2,2,1,2,2,1
0,0,0,0,0,0,0,0,0,2,2,4,4,12,12,4,2,47,9,4,2,12,12,4,2,4,12,4,12,4,2,2,12,9,47,23,41,31,31,31,31,31,31,31,31,31,35,3,30,31,31,31,31,31,31,31,31,30,30,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,26,25,46,46,10,2,3,12,2,3,2,1,3,4,4,2,3,3,2,2,2,1,2,1,1
0,0,0,0,0,0,0,0,0,2,2,2,4,4,12,2,2,13,13,2,2,12,12,12,2,4,4,13,4,12,4,2,2,47,42,38,38,31,31,31,31,31,31,31,31,31,35,11,25,31,31,31,31,30,30,29,30,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23,45,12,2,2,9,3,1,1,1,1,4,4,3,2,4,3,1,2,2,1,2,2,2
2,2,0,0,0,0,0,0,0,2,4,4,4,4,12,4,0,2,13,4,4,4,4,4,9,9,12,4,13,12,12,47,44,22,38,38,38,38,31,31,31,31,31,31,31,31,35,10,46,31,29,29,28,28,28,27,28,27,28,28,28,28,29,29,29,30,30,30,30,30,31,30,30,30,30,30,30,29,29,30,30,30,30,30,30,30,30,29,25,23,10,11,10,4,3,2,2,1,3,13,3,4,4,4,3,3,2,2,2,2,2,2
2,2,2,2,2,0,0,0,0,2,4,4,4,4,12,4,0,4,13,4,13,12,4,4,12,9,47,13,4,12,10,41,38,41,41,38,38,38,31,31,31,31,31,31,31,31,38,23,3,31,29,29,28,27,27,24,24,25,24,27,27,27,27,27,28,29,30,30,30,30,31,30,30,30,30,30,29,28,29,26,26,26,28,30,30,30,30,30,29,26,45,46,12,3,3,2,1,1,4,4,4,3,3,2,1,2,2,2,2,2,2,2
