1
902915664715956462738745d234b204
False,0
True,100
31,43
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,2,3,3,-1,-1,-1,2,4,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,2,3,4,-1,2,-1,5,3,-1,-1,2,-1,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,3,2,2,4,5,2,-1,4,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,3,2,3,5,2,3,5,3,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,3,2,4,3,3,4,3,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,5,2,3,4,4,4,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,3,3,4,3,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,4,3,4,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,3,3,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,4,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,4,4,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,3,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,3,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,3,4,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,3,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,4,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,3,-1,3,3,3,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,4,3,4,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,4,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,3,4,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,3,3,4,-1,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,2,3,3,4,2,-1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,11,11,5,2,2,3,3,3,4,-1,2,9,9,9,10,9,-1,10,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,11,-1,-1,4,10,10,10,9,9,9,9,10,10,9,10,9,9,10,-1,9,10,10,-1,-1,-1
-1,11,11,-1,10,11,11,11,11,9,9,9,9,10,10,10,10,10,10,9,10,10,10,10,10,9,10,10,-1,-1,-1
11,11,11,8,8,10,11,11,10,11,10,10,9,10,10,10,9,11,10,11,9,10,8,9,8,11,3,10,9,10,10
11,11,16,16,11,11,11,16,10,11,11,11,11,16,11,10,10,10,9,10,9,11,10,9,9,11,11,10,9,9,10
16,14,15,11,11,11,11,11,11,10,11,11,11,10,10,10,10,9,11,8,8,11,9,11,10,11,11,11,2,11,-1
-1,11,15,11,11,16,16,16,11,9,10,10,9,9,9,9,10,9,10,11,9,9,9,10,11,11,11,11,11,11,-1
-1,11,15,14,15,11,11,15,11,16,16,10,11,11,10,7,6,9,9,11,10,11,11,9,9,10,8,10,10,9,-1
-1,11,16,14,15,11,16,10,11,11,16,11,9,8,10,11,11,11,11,10,10,9,10,11,9,10,9,10,8,10,-1
-1,16,16,11,16,12,10,16,16,11,11,11,11,10,11,11,11,11,11,11,11,9,10,10,11,10,9,10,11,11,-1
-1,-1,-1,10,11,10,11,11,11,11,15,16,16,11,9,9,16,10,10,11,10,11,10,11,11,10,11,11,-1,-1,-1
-1,-1,-1,-1,-1,15,15,11,16,15,14,11,11,10,16,16,11,11,11,11,15,16,16,11,16,16,11,-1,-1,-1,-1
